StageId	Type	Name	Description	Icon	StoryIcon	BgmId	AmbientSound	LoadingType	RewardTipId	EventId	NormalEventIdOnPassed	UnlockEventId	NormalEventId	PreEventId	ClearEventId	DisappearCondition	OrderId	RecommandLevel	IsMultiplayer	HaveAssist	StandardUseTimeSec	RequireLevel	RequireActionPoint	FirstRequireActionPoint	FinishRequireActionPoint	CharacterLimitType	CareerSuggestType	AISuggestType	LimitBuffId	PassTimeLimit	PreStageId	FlopRewardId	FinishRewardShow	FirstRewardShow	FinishDropId	FirstRewardId	StarRewardId	TeamExp	FirstTeamExp	FinishTeamExp	CardExp	FirstCardExp	FinishCardExp	MaxChallengeNums	BuyChallengeCost	BuyChallengeCount	KeepPlayingStory	BeginStoryIds	BeginConditions	EndStoryIds	EndConditions	OnlinePlayerLeast	OnlinePlayerLimit	StarDesc	DescEventId	SettleLoseTipId	SuggestedConditionId	ForceConditionId	HaveFirstPass	FirstGotoSkipId	FunctionLeftBtn	FunctionRightBtn	RobotId	UrgentEventId	RebootId	AutoFightId	StageType	StageGridStyle	FightControlId	DisableJoystick	NeedJobType	MultiChallengeId	Restartable	ResetHpCount	StoryUiStyle	OnlineMsgId	ForceAllyEffect	DisableDeadEffect	HideAction	Ability	GeneralSkillIds	NextStageId
1		封测用作假关卡	灰鸦小队迎来了新任的指挥官，和小队成员一起进行收复地球的任务。			101					1						1			1			6						1				100101010					6															3	['无', '无', '无']														Rectangle			[1, 2, 3]											
2		封测用作假关卡	灰鸦小队迎来了新任的指挥官，和小队成员一起进行收复地球的任务。			101					1						1			1			6						1									6															3	['无', '无', '无']					True	1010	2	1						Rectangle			[1, 2, 3]											
10010001	1	余晖	灰鸦小队正在进入015号城市废墟。	Assets/Product/Texture/Image/UiFubenMainTab/UiFuben00Img04.png	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal04.png	101	311				1						1	1				1							1																			['MC00000BA']					3	['击毁所有感染体', '战斗至最后一刻', '通过关卡']					True		2	1	[1011]				2	Square			[1, 2, 3]											
10010002	1	起源	指挥官，请跟紧我。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0002.png		111	301				1						2	1		1		1							1																								3	['击毁所有感染体', '战斗至最后一刻', '通过关卡']					True		2	1	[1011]		1			Rectangle			[1, 2, 3]											
10010003	1	深红	好好看清人类的真实面目吧。	Assets/Product/Texture/Image/UiFubenMainTab/UiFuben00Img05.png	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal05.png	112	301				1						3	1				1							1																			['ZX00003CG']					3	['挑战不明构造体', '战斗至最后一刻', '通过关卡']					True	21	2	1	[1011]				2	Square			[1, 2, 3]											
10010004		黎明	灰鸦小队迎来了新任的指挥官，和小队成员一起进行收复地球的任务。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal01.png		111					1						4	1		1		1		6					1										6			10											3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Rectangle			[1, 2, 3]											
10010005	1	新危机	【升格&感染合集】灰鸦小队，集结完毕！	Assets/Product/Texture/Image/UiFubenPrequelTab/PrequelTab00.png		112	301				1						5	1				1							1																			['MC00001BA']					3	['通过关卡']					True	21	2	1	[1011]				2	Square			[1, 2, 3]											
10010101	1	灰鸦过境	为了取得Q1战区的胜利，灰鸦小队决定向战区深处进发。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1						1	1		1		1		6					1	300				10010101		10010101			6			11					1	['ZX00101BA']		['ZX00101EA']			3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10010102]
10010102	1	临别赠礼	在战斗途中收到会合信息的灰鸦决定把C点定为眼下的目的地。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1						2	1		1		1		6					1	300	[10010101]			10010102		10010102			6			11					1	['ZX00102BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10010103]
10010103	1	涂鸦浪潮	涂鸦的痕迹，面对这诡异的作品伏击，丽芙也决定拿起武器。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0101.png		101	303				1						3	1		1		1		6					1	300	[10010102]			10010103		10010103			6			11					1	['ZX00103BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Rectangle	1		[1, 2, 3]											[10010104]
10010104	1	完整战力	试着用丽芙来战斗吧，指挥官——露西亚	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		111	314				1						4	1		1		1		6					1	300	[10010103]			10010104		10010104			6			11					1	['ZX00104BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True	21	2	1			1			Square	1		[1, 2, 3]											[10010201]
10010201	1	还原现场	到达C点以后，灰鸦看见的是战友的残骸和啃食残骸的感染体，守护战友们的亡骸并驱赶感染体。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1						5	1		1		1		6					1	300	[10010104]			10010105		10010105			6			11					1	['ZX00105BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10010202]
10010202	1	迷失雾中	为了之后的战斗，露西亚从残骸中找到了合适自己的手臂，眼前的这些感染体正好能当作新手臂的木桩。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1						6	1		1		1		6					1	300	[10010201]			10010106		10010106			6			11					1	['ZX00106BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True	21	2	1			1			Square	1		[1, 2, 3]											[10010203]
10010203	1	柔软的心	虽然C点的队伍被全灭，但临时会合点不止一个，灰鸦决定往那些地点去。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png		102	303				1						7	1		1		1		6					1	300	[10010202]			10010107		10010107			6			11					1	['ZX00107BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1	[1000]		1			Square			[1, 2, 3]											[10010204]
10010204	1	前进的意义	在感染体的群体之中出现一只会发出奇怪笑声的“嘻嘻怪”，追过去看看。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0102.png		111	303				1						8	1		1		1		6					1	300	[10010203]			10010108		10010108			6			11					1	['ZX00108BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True	21	2	1			1			Rectangle	1		[1, 2, 3]											[10010301]
10010301	1	追随者们	市区的会合点也已经沦陷，通过调查同伴的残骸，灰鸦小队明白到自己的行踪被感染体完全捉住，现在必须先摆脱眼前的敌人。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1						9	1		1		1		6					1	300	[10010204]			10010109		10010109			6			15					1	['ZX00109BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10010302]
10010302	1	底色铺垫	里因为情报完全被敌人紧握而失去了冷静，而在争吵的灰鸦小队面前又出现了新的追兵。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1						10	1		1		1		6					1	300	[10010301]			10010110		10010110			6			16					1	['ZX00110BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10010303]
10010303	1	自我诠释	灰鸦小队在市区找到整顿装备的地方，丽芙和露西亚也从废墟中捡来了两个玩偶，而这时从建筑走出了感染体。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png		102	303				1						11	1		1		1		6					1	300	[10010302]			10010111		10010111			6			16					1	['ZX00111BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10010304]
10010304	1	最终创作	为了获胜和取回这个区域的主导权，灰鸦小队决定穿越城区往新种所在的工厂区	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0103.png		112	303				1						12	1		1		1		6					1	300	[10010303]			10010112		10010112			6			16					1	['ZX00112BA']		['ZX00112EA']			3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Rectangle	1		[1, 2, 3]											[11010101]
10020101	1	奇怪的新朋友	消灭新种以后，感染体重新回到散乱的状态，灰鸦小队决定趁现在先搭建好通往传送门的安全路线。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1						1	1		1		1		10					1	300				10020101		10020101			10			20					1	['ZX00201BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1	[1012, 1013, 1014]		1			Square	1		[1, 2, 3]											[10020102]
10020102	1	奇异信号源	桥上徘徊着不少失去控制的感染体，得先把他们赶出这里才能建立驱赶感染体的“隔离装置”。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab04.png		102	303				1						2	1		1		1		10					1	300	[10020101]			10020102		10020102			10			20					1	['ZX00202BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Rectangle	1		[1, 2, 3]											[10020103]
10020103	1	旧识	这个区域中还有另外的执行者部队在进行作战，因为他们“粗心”灰鸦小队不得不应付逃过来的感染体。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1						3	1		1		1		10					1	300	[10020102]			10020103		10020103			10			20					1	['ZX00203BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10020104]
10020104	1	遗物	里是战事工程的能手，虽然桥上还有危险，但如今还是尽快掩护他架起隔离装置为上。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		111	303				1						4	1		1		1		10					1	300	[10020103]			10020104		10020104			10			20					1	['ZX00204BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10020201]
10020201	1	语言游戏	城市也是通往传送门所在地的必经之路，但这里也徘徊着不少感染体，和上次一样清理这片区域。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0201.png		101	303				1						5	1		1		1		10					1	300	[10020104]			10020105		10020105			10			20					1	['ZX00205BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Rectangle	1		[1, 2, 3]											[10020202]
10020202	1	执着存活	经过努力，丽芙在战斗上的表现得到了其余两人的认可，靠这股势头把接下来的区域也清空吧。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1						6	1		1		1		10					1	300	[10020201]			10020106		10020106			10			20					1	['ZX00206BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10020203]
10020203	1	隔离装置	雨突然下了起来，在雨变得更大之前保护里并将隔离装置架好。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0202.png		101	303				1						7	1		1		1		10					1	300	[10020202]			10020107		10020107			10			20					1	['ZX00207BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Rectangle	1		[1, 2, 3]											[10020204]
10020204	1	救援信号	在建设隔离装置的途中收到了构造体的救援信号，得赶紧过去救人。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		102	303				1						8	1		1		1		10					1	300	[10020203]			10020108		10020108			10			20					1	['ZX00208BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10020301]
10020301	1	钢铁意志	上次的构造体因伤重只能重启，构造体的重启即是清除其所有记忆，虽然悲伤，但灰鸦小队还是要继续前进。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1						9	1		1		1		10					1	300	[10020204]			10020109		10020109			10			20					1	['ZX00209BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10020302]
10020302	1	“安全”出口	这个区域即是通往传送门的最后一个区域，保护里在这建设安全路线。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png		111	303				1						10	1		1		1		10					1	300	[10020301]			10020110		10020110			10			20					1	['ZX00210BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Square	1		[1, 2, 3]											[10020303]
10020303	1	高傲者们	灰鸦小队再一次接收到了救援信号，这次一定要把构造体救下来。	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0203.png		111	303				1						11	1		1		1		10					1	300	[10020302]			10020111		10020111			10			20					1	['ZX00211BA']					3	['全员存活通过关卡', '死亡次数不超过1次', '通关时间小于150秒']					True		2	1			1			Rectangle	1		[1, 2, 3]											[10020304]
