Id	Name	ManagerName	Icon	TimeId	ShowConditionId	FunctionNameId	SkipId	Order	RedPointConditions	RedParam	Note	IsAgency	IsRecord
1	拾叶载梦	RpgTowerManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner21.png			10321	11736		['CONDITION_RPGTOWER_TASK_RED', 'CONDITION_RPGTOWER_DAILYREWARD_RED']		RPG玩法		
2	巴别塔·黯潮蚀光	FubenBabelTowerManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner197.png			10307	20015		['CONDITION_ACTIVITYBRIE_BABELTOWER_REWARD']		巴别塔		
3	鹊巧祈星	PokerGuessingManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner155.png			10333	11761		['CONDITION_POKER_GUESSING_RED']		七夕翻牌		
4	拟战场域	FubenRepeatChallengeManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner146.png	28		10309	20017	1	['CONDITION_REPEAT_CHALLENGE_ENTRANCE']		复刷关		
5	枯枝遗光	FubenActivityBossSingleManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner220.png			10304	11724	4	['CONDITION_ACTIVITYBRIE_BOSSSINGLE']		超难关		True
6	独域特攻		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner60.png			10422	82070		['CONDITION_PIVOTCOMBAT_ALL_RED_POINT']		独域特攻		
8	葬愿穷途	XRiftAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner205.png			10437	80201		['CONDITION_RIFT_ENTRANCE']		深蓝2.0	1	True
9	联机玩法	DlcHuntManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBannerDlcHunt.png				87001				狩猎DLC		
10	喵星淘金	XGoldenMinerAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner165.png			10426	20177		['CONDITION_GOLDEN_MINER_REWARD']		黄金矿工	1	True
11	分光双星		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner68.png			10343	82001		['CONDITION_COUPLE_COMBAT_TASK_REWARD']		双人成行		
12	苍蓝无尽夏		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner86.png				11773		['CONDITION_FASHION_STORY_HAVE_STAGE']		涂装剧情		
13	调色板战争	ColorTableManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner94.png						['CONDITION_COLORTABLE_ENTRANCE']		调色板战争		
14	光辉同行		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner92.png			10439	89001				小辉辉活动		
15	意识营救战·绘历	MemorySaveManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner91.png			10351	88005		['CONDITION_MEMORYSAVE_ALL_RED_POINT']		意识营救战		
