Id	Type	NameEn	SimpleDesc	Icon	IconMain	IsClose	ResetType	ResetTime	ResetInterval	ShopId	IsOpen	Priority	ShowNewStartTime	ShowNewEndTime	FunctionId	SkipId	RewardId	RedPointConditions
1	5		幻痛囚笼	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter02.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter02.png		3	3#0|0#0	18000	301	1	3			10203	90038		['CONDITION_BOSS_SINGLE_RED']
2	9		意识营救战	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter04.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter04.png		3				1	2			1601	90039		
3	10	Arena	纷争战区	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter03.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter03.png						1	2			10204	90040		
4	11	Exploer	黄金之涡	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter05.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter05.png						1	12			10405			
5	14	UiFubenPractice	赛利卡补习班	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter06.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter06.png						1	7			1800	90041		
6	28	UiPanelAssignMain	端域公约	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter07.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter07.png						1	6			10311			
7	33		异聚迷宫	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter08.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter08.png						1	9			10315			
8	37		维系者行动	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter09.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter09.png						1	8			1302	90042		
9	44		诺曼复兴战	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter10.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter10.png						1	4			10205			
10	47		适配拟合	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter11.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter11.png						1	10			1801			
11	60		宣叙妄响	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter12.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter12.png					603	1	13			10420	90043	550009	
12	7		协同作战	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter15.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter15.png						1				10302			
13	71		据点	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter13.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter13.png						1	5			10103			['CONDITION_BFRT_COURSE_REWARD']
14	80		法奥斯评级委员会	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter16.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter16.png						1				1802	90044		
15	81		厄愿潮声	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter17.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter17.png						1	14			10433	90045	550262	
16	86		亚卡数界	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter18.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter18.png						1				10441	87001		
17	91		历战映射	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter19.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter19.png						1				10451	89023		
18	92		矩阵循生	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter20.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter20.png						1	15			10453		63711	
19	90		御电携鸣	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter21.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter21.png						1	16			10448	90046		
20	99		寒境曙光	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter22.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter22.png						1	15			10470		61700	
21	55		链合回路	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner130.png	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner130.png						1	15			10413	82010		
22	105		神寂启示录	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPicTheatre5.png	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPicTheatre5.png						1	16			10491	89092		['CONDITION_THEATRE5_MAIN']
25	106		空中花园	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPicSkyGarden2.png	Assets/Product/Texture/Image/UiFubenChallengeBanner/UiFubenChallengeChapter27.png						1	17			20000	89076		['CONDITION_BIG_WORLD_SKY_GARDEN_ENTRANCE']
