Info	Key	X	Y
1515151515	PB1	14477	10897
1515151515	S1	14477	11931
1515151515	ZX1	14477	12346
1515151515	End	14477	11594
1515151515	B101	14452	11601
1515151515	B102	14172	11819
1515151515	B103	14763	11811
1515151515	B104	14148	12013
1515151515	B105	14538	12021
1515151515	B106	14834	12021
30006834	PB1	14477	10897
30006834	S1	14477	11931
30006834	B101	14477	12346
30006834	Center	14477	11594
30006834	M1	14477	12544
30163322	PB1	14477	10897
30163322	S1	14477	11931
30163322	B101	14477	12346
30163322	Center	14477	11594
30163322	M1	14477	12544
30163322	B1	14475	11747
30163322	B2	14473	11218
30163322	B3	14479	12287
30163322	B4	13972	12058
30163322	B5	13970	11458
30163322	B6	14949	12075
30163322	B7	14945	11450
30163322	zero		
