Id	PeriodChapterIds	Name	Gender	HalfBodyImg	FullBodyImg	Text	MovieId	IsShow	IsVoiceover	CharacterIds
1	{1: 6046, 2: 6041, 3: 6038}	露西亚	她	Assets/Product/Texture/Image/RoleStory/R4LuxiyaNormal04.png	Assets/Product/Texture/Image/RoleStory/R4LuxiyaNormal04.png	派对结束，但露西亚去哪里了？这样重要的日子，还是想要和她待在一起……	HD02929BA	{1: 0, 2: 0, 3: 1}	1	[1021001, 1021002, 1021004]
2	{1: 6046, 2: 6041, 3: 6038}	里	他	Assets/Product/Texture/Image/RoleStory/V132lNormal01.png	Assets/Product/Texture/Image/RoleStory/V132lNormal01.png	灰鸦休息室又恢复了往日的宁静，顺着空无一人的走廊回到自己的房间，在门口看到了一直等待着的里。	HD02916BA	{1: 1, 2: 1, 3: 1}	1	[1011002, 1011003, 1011004]
3	{1: 6046, 2: 6041, 3: 6038}	丽芙	她	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	天色渐晚，已经到了和丽芙约定的时间，赶快回灰鸦休息室吧。	HD02928BA	{1: 0, 2: 1, 3: 1}	1	[1031001, 1031002, 1031003, 1031004, 1031005]
4	{1: 6046, 2: 6041, 3: 6038}	苏菲亚	她	Assets/Product/Texture/Image/RoleStory/R2SufeiyaNormal01.png	Assets/Product/Texture/Image/RoleStory/R2SufeiyaNormal01.png	要来套生日庆祝套餐吗，包含了为指挥官特别准备的舞蹈，当然……是不收费的。	HD02922BA	{1: 1, 2: 1, 3: 1}		[1111002]
5	{1: 6046, 2: 6041, 3: 6038}	常羽	他	Assets/Product/Texture/Image/RoleStory/ChangyuNormal03.png	Assets/Product/Texture/Image/RoleStory/ChangyuNormal03.png	指挥官，想不想去我的秘密基地看看？我保证不会让你失望！	HD02923BA	{1: 1, 2: 1, 3: 1}		[1161002]
6	{1: 6046, 2: 6041, 3: 6038}	库洛姆	他	Assets/Product/Texture/Image/RoleStory/R3kuluomuNormal02.png	Assets/Product/Texture/Image/RoleStory/R3kuluomuNormal02.png	接下来还有一场汇报会议，需要突击鹰和灰鸦小队的负责人一起出席……等工作结束了，可以给我一段单独相处的时间吗？	HD02901BA	{1: 1, 2: 1, 3: 1}		[1121002, 1121003]
7	{1: 6046, 2: 6041, 3: 6038}	神威	他	Assets/Product/Texture/Image/RoleStory/ShenweiNormal01.png	Assets/Product/Texture/Image/RoleStory/ShenweiNormal01.png	以神威的习惯，他很快就会发来简讯或者突然从某处笑着出现了吧。	HD02914BA	{1: 1, 2: 1, 3: 1}	1	[1061002, 1061003]
8	{1: 6046, 2: 6041, 3: 6038}	万事	他	Assets/Product/Texture/Image/RoleStory/WanshiNormal01.png	Assets/Product/Texture/Image/RoleStory/WanshiNormal01.png	就在约定的地方见面吧，至于“生日快乐”这句话，我想当面和你说。	HD02902BA	{1: 0, 2: 0, 3: 1}		[1211002]
9	{1: 6046, 2: 6041, 3: 6038}	卡穆	他	Assets/Product/Texture/Image/RoleStory/R2KamuNormal01.png	Assets/Product/Texture/Image/RoleStory/R2KamuNormal01.png	你们那边吵吵闹闹的活动结束了吗？先别回休息室！也别问为什么！	HD02913BA	{1: 1, 2: 1, 3: 1}		[1511003]
10	{1: 6046, 2: 6041, 3: 6038}	卡列尼娜	她	Assets/Product/Texture/Image/RoleStory/KalieninaNomal06.png	Assets/Product/Texture/Image/RoleStory/KalieninaNomal06.png	喂！不许偷看！还，还没有准备好呢！	HD02918BA	{1: 1, 2: 1, 3: 1}		[1071002, 1071003, 1071004]
11	{1: 6046, 2: 6041, 3: 6038}	露娜	她	Assets/Product/Texture/Image/RoleStory/LunaNormal03.png	Assets/Product/Texture/Image/RoleStory/LunaNormal03.png	夜幕回归了它原有的寂静，昏暗的街景下，月光仍在凝望。	HD02920BA	{1: 0, 2: 0, 3: 1}	1	[1171003]
12	{1: 6046, 2: 6041, 3: 6038}	α	她	Assets/Product/Texture/Image/RoleStory/V210aefNormal01.png	Assets/Product/Texture/Image/RoleStory/V210aefNormal01.png	如果你有空在今晚出来一趟，我会在这个位置等你——对，你没看错，怕累的话就留在灰鸦的休息室吧。……只是，我还会在这里等你。	HD02925BA	{1: 1, 2: 1, 3: 1}		[1021003, 1021005]
13	{1: 6046, 2: 6041, 3: 6038}	罗兰	他	Assets/Product/Texture/Image/RoleStory/LuolanNormal04.png	Assets/Product/Texture/Image/RoleStory/LuolanNormal04.png	疲累的任务结束后，在睡梦中却依稀听到了熟悉而危险的声音……	HD02903BA	{1: 1, 2: 1, 3: 1}	1	[1541003]
14	{1: 6046, 2: 6041, 3: 6038}	拉弥亚	她	Assets/Product/Texture/Image/RoleStory/V260lmyNormal01.png	Assets/Product/Texture/Image/RoleStory/V260lmyNormal01.png	潮汐在晚风中低吟，游鱼在浪花间穿行，每个人心底都有一片蓝，那片蓝究竟是海，还是某个羞怯的身影？	HD02910BA	{1: 1, 2: 1, 3: 1}	1	[1271003]
15	{1: 6046, 2: 6041, 3: 6038}	渡边	他	Assets/Product/Texture/Image/RoleStory/V280dbNormal01.png	Assets/Product/Texture/Image/RoleStory/V280dbNormal01.png	今天是个有纪念意义的日子，我想跟你一起度过。	HD02915BA	{1: 1, 2: 1, 3: 1}		[1081002, 1081003, 1081004]
16	{1: 6046, 2: 6041, 3: 6038}	艾拉	她	Assets/Product/Texture/Image/RoleStory/V200alNormal03.png	Assets/Product/Texture/Image/RoleStory/V200alNormal03.png	指挥官！~今年的生日，我给你准备了很有趣的“礼物”哦！你一定会很！喜！欢！	HD02917BA	{1: 1, 2: 1, 3: 1}		[1091002, 1091003]
