Id	TimeId	Name	FullScreenBg	PrefabPath	BtnBg	Type	RoundDays	SubRoundId	OpenLevel	OpenStage	PreSignId	CreateTimeId	IsShowWhenDayOver	IsShowWhenSignOver	ReissueRewardMailId
1	24	日常签到	Assets/Product/Texture/Image/UiActivityBase/SignBgDailyLoginNew.png	Assets/Product/Ui/ComponentPrefab/Sign/SignDaily.prefab	Assets/Product/Texture/Image/UiActivityBase/SignLabelDailyLoginNew.png	1	[28]	[101]			2			True	
2	24	新手签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7, 7]	[1001, 1002]		10010303					
5		圣诞签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1003]	20						
6		元宵签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1004]	20						
7		新春签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1005]	20						
8		列车签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1006]	20						
9		夜航船签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1007]	20						
10		九龙环城签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1008]	20						
11		湛蓝曙日签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7, 7]	[1009, 1010]	20						
12		重返极夜签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1011]	20						
13		金秋巡礼	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1012]	20						
14		古铭遗章签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1013]	20						
15		终焉福音签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1014]	20						
16		周年贺礼	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1015]	20						
17		寄渊残响签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7, 7]	[1016, 1017]	20						
18		寅月福临	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1018]	20						
19		新春颂献签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	3	[7, 7]	[1019, 1020]							
20		熹年贺岁签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	3	[7]	[1021]							
21		咏叹回声签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1022]	20						
22		视线囚笼签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1023]	20						
23		迷境刻痕签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1024]	20						
24		伊甸文化纪	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7, 7]	[1025, 1026]	52						
25		绝海星火签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1027]	20						
26		夏风馈赠	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1028]	20						
27		永夜胎动	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1029]	20						
28		月明千里	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1030]	20						
29		湮灭残昼	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1031]	20						
30		宣叙妄响	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1032]	20						
31		周年贺礼	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1033]	20						
32		游云鲸梦	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1034]	20						
33		恭贺元旦	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1035]	20						
36		曙星致意	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1036]	20						
35		桃符授春	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1037]	20						
37		遥岸方舟	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1038]	20						
38		空晓界限	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1039]	20						
39		五一纪行	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1040]	20						
40		枯朽为灯	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1041]	20						
41		鸢纸刻历	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1042]	20						
42	24	新锐武备-签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInCelica.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand2.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInCelica.png	2	[7]	[1043]		10010303		30			138
43		烬海异途	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1044]	20						
44		未语庭言	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1045]	20						
45		秋月渐盈	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1046]	20						
46		刻命螺旋	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1047]	20						
47		创绘映想-签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1048]	20						
48		千日盛彩-签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1049]	20						
49		凛桎鸣渊-签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[7]	[1050]	20						
50		万象更新-签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1051]							
51		恭贺新禧-签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1052]							
52		浮英枕梦行-签到	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInNewPlayer.png	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInNewPlayer.png	2	[3]	[1053]	20						
