Key	Values
SkyGardenEntry	"['99713', '[Babylonia] Special Invitation', ""Glacier rifts swallow the dawn. The shadow of Frostheart lies hidden. Beneath Babylonia's dome, a crisis stirs beneath the surface.""]"
SkyGardenEntryCondition	['1050141']
SkyGardenEntryRewardId	['7000234']
ArmyPrefab	['Assets/Product/Ui/ComponentPrefab/UiMainLineLuosaita/UiMainLineLuosaitaAlly.prefab']
EnemyPrefab	['Assets/Product/Ui/ComponentPrefab/UiMainLineLuosaita/UiMainLineLuosaitaEnemy.prefab']
CharacterPrefab	['Assets/Product/Ui/ComponentPrefab/UiMainLineLuosaita/UiMainLineLuosaitaCharacter.prefab']
SectionLock	['Complete the previous stage first.']
DragTips1	['Please target a nearby enemy.']
DragTips2	['Current tile not captured']
DragTips3	['Outmatched. Unable to attack.']
DragTips4	['Release to launch attack.']
DragTips5	['Enemy Defense too high. Unable to attack.']
DragTips6	['Adjacent tiles are not captured.']
DragTips7	['Complete the stage first!']
NumberOrder	['No.%s']
MessageShowTime	['100', '99999']
ProgressText	['<color=#0a82de><size=60>%s</size></color><size=30>/%s</size>']
FocusSpeed	['700']
