Id	Name	ConditionId	DisappearConditionId	Desc	Head	HeadCircle	AnimConditionId	AnimName
3101	Rosetta	1007222	1007200	Chief Commander of the alliance forces, fighting to defend the Arctic region.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luosaita1.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3102	Lee			Gray Raven member who excels at sniping and independent operations.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3103	Simon	1007224		"Commandant of Dark Aries, serving as ""the other chief commander."""	Assets/Product/Texture/Image/RoleCharacter/XimengNormal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3104	Dulova	1007223		One of the Frostheart Warlords, bearing a striking resemblance to Amberia.	Assets/Product/Texture/Image/RoleCharacter/AnboliyaNormal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3105	Fyodor	1007224		One of the Frostheart Warlords, a cunning commander skilled in underhanded tactics.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadFeiduoer.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3106	Rumyantsev	1007224		One of the Frostheart Warlords, a heroic general with formidable combat prowess.	Assets/Product/Texture/Image/RoleCharacter/FushenNomal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3107	Unknown Enemy	1007222	1007200	Details Unknown	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3108	Zack	1007201		Zack the Frostheart Emperor, instigator of the war, fighting to amalgamate the world.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadZhake.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3109	Duryodhana			An Ascendant of unknown affiliation who crushes the battlefield with violence and savage fury.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadNandi.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3110	Unknown Enemy	1007201		Details Unknown	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3111	Rosetta	1007223		Chief Commander of the alliance forces, fighting to defend the Arctic region.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luosaita1.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3201	Rosetta	1007209		Chief Commander of the alliance forces, fighting to defend the Arctic region.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luosaita1.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3202	Lee			Gray Raven member who excels at sniping and independent operations.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3203	Simon			"Commandant of Dark Aries, serving as ""the other chief commander."""	Assets/Product/Texture/Image/RoleCharacter/XimengNormal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3204	Palmer	1007210		Dark Aries squad member who serves as the leader of this special operation.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadPaluma.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3205	Rumyantsev	1007226		One of the Frostheart Warlords, a heroic general with formidable combat prowess.	Assets/Product/Texture/Image/RoleCharacter/FushenNomal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3206	Fyodor	1007210	1007211	One of the Frostheart Warlords, a cunning commander skilled in underhanded tactics.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadFeiduoer.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3301	Rosetta	1007213		Chief Commander of the alliance forces, fighting to defend the Arctic region.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luosaita1.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3302	Lee			Gray Raven member who excels at sniping and independent operations.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3303	Simon			"Commandant of Dark Aries, serving as ""the other chief commander."""	Assets/Product/Texture/Image/RoleCharacter/XimengNormal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3304	Palmer	1007212		Dark Aries squad member who serves as the leader of this special operation.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadPaluma.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
