Id	Name	Attack	Hp	AttackChange	HpChange	ConditionId	DisappearConditionId	ShowConditionId	ChallengeArmyId	ChallengeArmyTips	DocIds	Desc	Head	MessageId
201	Corrupted Unit		3									A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	1
202	Corrupted Unit		4									A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	1
203	Elite Corrupted Unit	2	10									A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	2
204	Corrupted Unit		9					1007203				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	7
205	Corrupted Unit		3					1007203				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	8
206	Elite Corrupted Unit		7					1007203				An elite Corrupted force controlled by the Frostheart Emperor, acting in tactical formations.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	8
207	Elite Corrupted Unit	3	16					1007203				An elite Corrupted force controlled by the Frostheart Emperor, acting in tactical formations.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	12
208	Elite Corrupted Unit		17					1007203				An elite Corrupted force controlled by the Frostheart Emperor, acting in tactical formations.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	12
209	Corrupted Unit		5									A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	2
210	Elite Corrupted Unit	10	10					1007209	103	Army HP too low		An elite Corrupted force controlled by the Frostheart Emperor that has devastating offensive power. Only the most resilient units can withstand its assault.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	8
211	Corrupted Unit		7					1007209				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	8
212	Corrupted Unit		16					1007209			[30]	A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	8
213	Elite Corrupted Unit		19					1007209				An elite Corrupted force controlled by the Frostheart Emperor, acting in tactical formations. High Defense.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	8
214	Elite Corrupted Unit	1	21					1007213	104	Army strength too low		An elite Corrupted force controlled by the Frostheart Emperor, acting in tactical formations.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	26
215	Corrupted Unit	8	12					1007213	105	Army HP too low		A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	27
216	Corrupted Unit	99	39					1007213				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
217	Corrupted Unit	99	39					1007213				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
218	Corrupted Unit	99	39					1007213				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
219	Corrupted Unit	99	39					1007213				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
220	Corrupted Unit	99	39					1007213				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
221	Corrupted Unit	99	39					1007213				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
222	Corrupted Unit	99	39					1007213				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
223	Corrupted Unit	99	39					1007213				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
224	Corrupted Unit		39					1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
225	Corrupted Unit		39					1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
226	Hetero-Creature Horde		9	49	49			1007218			[36, 37, 38]	Hetero-Creatures drawn in by Duryodhana. No further details.	Assets/Product/Texture/Image/RoleMonster/RoleMonster93311.png	30
227	Corrupted Unit		99					1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	32
228	Corrupted Unit		99					1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	32
229	Corrupted Unit		99					1007218			[41]	A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	32
230	Corrupted Unit		39					1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	32
231	Corrupted Unit		39					1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	32
232	Hetero-Creature Horde		39					1007218				Hetero-Creatures drawn in by Duryodhana. No further details.	Assets/Product/Texture/Image/RoleMonster/RoleMonster93311.png	32
233	Corrupted Unit		39					1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	32
234	Corrupted Unit		39					1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	32
235	Hetero-Creature Horde		39					1007218				Hetero-Creatures drawn in by Duryodhana. No further details.	Assets/Product/Texture/Image/RoleMonster/RoleMonster93311.png	32
236	Corrupted Unit		99					1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	32
237	Hetero-Creature Horde		99					1007218				Hetero-Creatures drawn in by Duryodhana. No further details.	Assets/Product/Texture/Image/RoleMonster/RoleMonster93311.png	32
238	Corrupted Unit		39					1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	32
239	Corrupted Unit Pos10	99	99				1007204	1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
240	Corrupted Unit Pos11	99	99				1007205	1007218				A Corrupted force controlled by the Frostheart Emperor. Average Battle Power.	Assets/Product/Texture/Image/RoleCharacter/IceArchernomal.png	
