Id	PhraseId	Content	IsNeedUnLock	UnLockSentenceId
101	1	天赋凛然		
102	1	资质平平		
103	1	火系功法		
104	1	雷系功法		
201	2	不屑一顾		
202	2	如临大敌		
203	2	挑衅对手		
204	2	虚心请教		
301	3	疑神疑鬼		
302	3	跃跃欲试		
303	3	小心谨慎	True	14
401	4	所向披靡		
402	4	弱不禁风		
403	4	暴揍凶兽		
404	4	引开凶兽		
501	5	豪杰林立		
502	5	都是渣渣		
503	5	闪亮登场		
504	5	合作取胜		
601	6	轻松应对		
602	6	底牌尽出		
603	6	天火降临		
604	6	九天雷动		
701	7	霸王在世		
702	7	战神附体		
703	7	神探转生	True	38
801	8	有丝分裂		
802	8	腐蚀毒体		
803	8	黄色仙草		
804	8	红色仙草		
901	9	身法灵活		
902	9	配合默契		
903	9	寒冰秘法		
904	9	地火秘法		
1001	10	坚不可摧		
1002	10	无坚不破		
1003	10	天降正义	True	57
1004	10	越战越勇		
1101	11	浩浩荡荡		
1102	11	形单影只		
1103	11	实力强劲		
1104	11	浑水摸鱼		
1201	12	护宗大阵		
1202	12	宗门秘法		
1203	12	带头冲锋		
1204	12	紧随其后		
