Id	Describe	UiTemplate	UiCotainer	ConfirmPointMaxNpcDistance	ConfirmPointMaxNpcOffset	RandomBornPosX	RandomBornPosY	BornOffsetX	BornOffsetY	Lifetime	Animation	OriginSpeed	Acceleration	MaxSpeed	MinSpeed	MoveTime	OriginFallSpeed	FallAcceleration	FallMaxSpeed	FallMinSpeed	FallTime	ScaleOrigin	ScaleEnd	ScaleTime	ColorOrigin	ColorEnd	ColorTime	OpacityOrigin	OpacityEnd	OpacityTime	FadeTime	FadeAnimation	FadeDir	FadeSpeed	FadeOpacity	FadeOpacityTime	IntervalTime
1	物理	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.25	
2	物理暴击	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8999	SpriteTextImageEnable											1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.3	
3	雷	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.25	
4	火	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.25	
5	冰	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.25	
6	暗	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.25	
7	治疗	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightExecution.prefab	NormalContainer	1.0		20.0	20.0		120.0	0.8		20.0	-15.0	20.0		0.2						1.0	1.0	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3					0.3499	
8	物理（同步）	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25	
9	物理暴击（同步）	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8												1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25	
10	雷（同步）	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25	
11	火（同步）	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25	
12	冰（同步）	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25	
13	暗（同步）	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25	
14	治疗（同步）	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightExecution.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8		20.0	-15.0	20.0		0.2						1.0	1.0	0.15	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3					0.3499	
15	受击	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	1.0		20.0	20.0		-80.0	0.1												0.8	0.8	0.15	CC1725	CC1725	1.0	1.0	1.0		0.6		180.0	1.0		0.55	
16	火暴击	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8999	SpriteTextImageEnable											1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.3	
17	雷暴击	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8999	SpriteTextImageEnable											1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.3	
18	冰暴击	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8999	SpriteTextImageEnable											1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.3	
19	暗暴击	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8999	SpriteTextImageEnable											1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.3	
