Id	Name	Icon	Description
1	属性伤害	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon010.png	可造成属性伤害
2	高频攻击	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	可进行高频率攻击
3	爆发	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	可在短时间造成高额伤害
4	生命恢复	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon006.png	可回复队友生命值
5	弱化	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	可对敌方能力进行削弱
6	暴击	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	更容易对敌方造成暴击伤害
7	牵引	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	可对敌方进行牵引
8	减伤	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	可降低我方成员受到的伤害
9	控制	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon018.png	可对敌方进行控制
10	护盾	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	可使我方成员获得护盾
11	强化	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon019.png	可对我方成员能力进行强化
12	仇恨吸引	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	在场时更容易成为敌方攻击目标
13	霸体击破	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	可有效削减敌方的霸体值
14	进攻型	Assets/Product/Texture/Image/IconType/IconCharacter3.png	可进行高效输出
15	装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	护甲强化，霸体并减免50%伤害
16	辅助型	Assets/Product/Texture/Image/IconType/IconCharacter2.png	回复效率提升，连携能量恢复加快
17	远程输出	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12251.png	可远程对敌方进行输出
18	先锋型	Assets/Product/Texture/Image/IconType/IconCharacter4.png	可进行高效输出
19	增幅型	Assets/Product/Texture/Image/IconType/IconCharacter5.png	含聚怪、控制、输出于一体的全能角色
